plotId,ifn,province,municipality,latWGS84,lngWGS84,dataCapture,plotifn3Id,plotIri,plotifn3Iri
"40-36","ifn2","Segovia","San Cristóbal de Cuéllar",41.433166,-4.401576,1991,"40-36-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-36","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-36-A-1"
"40-37","ifn2","Segovia","Cuéllar",41.433739,-4.353714,1991,"40-37-A-3E","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-37","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-37-A-3E"
"40-40","ifn2","Segovia","Cuéllar",41.434427,-4.293884,1991,"40-40-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-40","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-40-A-1"
"40-47","ifn2","Segovia","Cuéllar",41.42582,-4.257812,1991,"40-47-A-3C","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-47","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-47-A-3C"
"40-73","ifn2","Segovia","Mata de Cuéllar",41.369083,-4.483897,1991,"40-73-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-73","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-73-A-1"
"40-95","ifn2","Segovia","Remondo",41.360079,-4.483692,1991,"40-95-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-95","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-95-A-1"
"40-102","ifn2","Segovia","Chañe",41.361415,-4.376125,1991,"40-102-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-102-A-1"
"40-364","ifn2","Segovia","Villaverde de Íscar",41.305266,-4.542174,1991,"40-364-A-3C","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-364","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-364-A-3C"
"40-372","ifn2","Segovia","Villaverde de Íscar",41.287258,-4.54175,1991,"40-372-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-372","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-372-A-1"
"40-373","ifn2","Segovia","Villaverde de Íscar",41.287417,-4.529812,1991,"40-373-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-373","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-373-A-1"
"40-378","ifn2","Segovia","Villeguillo",41.268927,-4.565195,1991,"40-378-A-4","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-378","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-378-A-4"
"40-396","ifn2","Segovia","Coca",41.197053,-4.551556,1991,"40-396-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-396","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-396-A-1"
"40-422","ifn2","Segovia","Fresneda de Cuéllar",41.306356,-4.458583,1991,"40-422-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-422","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-422-A-1"
"40-432","ifn2","Segovia","Fresneda de Cuéllar",41.297352,-4.458382,1991,"40-432-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-432","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-432-A-1"
"40-443","ifn2","Segovia","Villaverde de Íscar",41.287575,-4.517874,1991,"40-443-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-443","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-443-A-1"
"40-444","ifn2","Segovia","Fuente el Olmo de Íscar",41.288042,-4.482059,1991,"40-444-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-444","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-444-A-1"
"40-446","ifn2","Segovia","Samboal",41.288347,-4.458182,1991,"40-446-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-446","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-446-A-1"
"40-448","ifn2","Segovia","Samboal",41.288942,-4.410427,1991,"40-448-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-448","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-448-A-1"
"40-462","ifn2","Segovia","Samboal",41.27919,-4.469918,1991,"40-462-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-462","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-462-A-1"
"40-463","ifn2","Segovia","Samboal",41.279342,-4.457981,1991,"40-463-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-463","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-463-A-1"
"40-465","ifn2","Segovia","Samboal",41.27979,-4.42217,1991,"40-465-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-465","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-465-A-1"
"40-481","ifn2","Segovia","Samboal",41.270337,-4.457781,1991,"40-481-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-481","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-481-A-1"
"40-515","ifn2","Segovia","Coca",41.252023,-4.481244,1991,"40-515-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-515","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-515-A-1"
"40-516","ifn2","Segovia","Coca",41.252176,-4.469312,1991,"40-516-A-3C","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-516","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-516-A-3C"
"40-517","ifn2","Segovia","Coca",41.252328,-4.45738,1991,"40-517-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-517","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-517-A-1"
"40-557","ifn2","Segovia","Coca",41.234013,-4.480838,1991,"40-557-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-557","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-557-A-1"
"40-561","ifn2","Segovia","Navas de Oro",41.234617,-4.433122,1991,"40-561-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-561","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-561-A-1"
"40-571","ifn2","Segovia","Coca",41.224543,-4.516415,1991,"40-571-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-571","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-571-A-1"
"40-575","ifn2","Segovia","Navas de Oro",41.225162,-4.468707,1991,"40-575-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-575","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-575-A-1"
"40-578","ifn2","Segovia","Navas de Oro",41.225907,-4.409071,1991,"40-578-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-578","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-578-A-1"
"40-584","ifn2","Segovia","Coca",41.215695,-4.504282,1991,"40-584-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-584","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-584-A-1"
"40-588","ifn2","Segovia","Navas de Oro",41.216308,-4.45658,1991,"40-588-A-3C","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-588","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-588-A-3C"
"40-745","ifn2","Segovia","Fuenterrebollo",41.303095,-3.897104,1991,"40-745-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-745","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-745-A-1"
"40-1150","ifn2","Segovia","Montejo de Arévalo",41.158845,-4.705592,1991,"40-1150-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1150-A-1"
"40-1151","ifn2","Segovia","Santiuste de San Juan Bautista",41.161353,-4.526876,1991,"40-1151-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1151","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1151-A-1"
"40-1152","ifn2","Segovia","Montejo de Arévalo",41.149841,-4.705358,1991,"40-1152-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1152","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1152-A-1"
"40-1155","ifn2","Segovia","Donhierro",41.131656,-4.7168,1991,"40-1155-A-3C","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1155","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1155-A-3C"
"40-1166","ifn2","Segovia","Aldehuela del Codonal",41.0623,-4.524582,1991,"40-1166-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1166","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1166-A-1"
"40-1171","ifn2","Segovia","Juarros de Voltoya",41.025964,-4.547532,1991,"40-1171-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1171","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1171-A-1"
"40-1187","ifn2","Segovia","Carbonero el Mayor",41.164132,-4.300472,1991,"40-1187-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1187","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1187-A-1"
"40-1193","ifn2","Segovia","Mozoncillo",41.165169,-4.205135,1991,"40-1193-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1193","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1193-A-1"
"40-1212","ifn2","Segovia","Nava de la Asunción",41.125491,-4.514132,1991,"40-1212-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1212","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1212-A-1"
"40-1217","ifn2","Segovia","Nava de la Asunción",41.116642,-4.502017,1991,"40-1217-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1217","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1217-A-1"
"40-1223","ifn2","Segovia","Nava de la Asunción",41.107792,-4.489907,1991,"40-1223-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1223","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1223-A-1"
"40-1275","ifn2","Segovia","Mozoncillo",41.15641,-4.181138,1992,"40-1275-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1275","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1275-A-1"
"40-1277","ifn2","Segovia","Mozoncillo",41.156652,-4.157306,1992,"40-1277-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1277","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1277-A-1"
"40-1292","ifn2","Segovia","Escarabajosa de Cabezas",41.120747,-4.144763,1992,"40-1292-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1292","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1292-A-1"
"40-1431","ifn2","Segovia","Martín Muñoz de las Posadas",40.971451,-4.581911,1992,"40-1431-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1431","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1431-A-1"
"40-1441","ifn2","Segovia","Santa María la Real de Nieva",40.94492,-4.545638,1992,"40-1441-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1441","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1441-A-1"
"40-1446","ifn2","Segovia","Muñopedro",40.926751,-4.557091,1991,"40-1446-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1446","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1446-A-1"
